lag,number of peak events,mean of peak events,std of peak events,t_stat of peak events,p_val of peak events,number of trough events,mean of trough events,std of trough events,t_stat of trough events,p_val of trough events
0,118,0.00454388910933569,0.09726452170048766,0.5074745560674606,0.6127771467024137,169,0.05399548446945805,0.15139869591184862,4.636376118534453,7.0917069338926675e-06
1,118,0.0067665802154208,0.07786569084429416,0.9439828345348924,0.34712368907658,169,-0.010790335976079118,0.09627319545122402,-1.4570448922109096,0.14697055558731079
2,118,0.0029049385960197315,0.07891381713254747,0.39987560424272955,0.6899772369640291,169,0.00789606420248737,0.09542211222590152,1.0757342531815455,0.28358856172207514
3,118,-0.002079053120297012,0.10222856753926574,-0.22091963351297814,0.8255400797512149,169,-0.0034644862115101207,0.10223273605902634,-0.44054695673632066,0.6601073420579213
4,118,-0.0012851466387073418,0.08150561662023292,-0.171279801493044,0.8642996371017584,169,0.008574600391537958,0.1389316770597814,0.8023354173003231,0.423492474345912
5,118,-0.0044191978856369515,0.07112350893236004,-0.6749494970011093,0.5010394798621816,169,-0.01214713111442869,0.08607354243750112,-1.8346253682103884,0.06832995599268941
6,118,0.0056671736430177104,0.078272883527654,0.7864954057539875,0.43316742184601453,169,0.002405874213661832,0.08873602420675716,0.3524652479891267,0.7249311577137763
7,118,-0.004805193044096544,0.06639795072780082,-0.7861350641655831,0.43337764239211496,169,0.0015397422984670824,0.08262759871615738,0.2422513807866224,0.8088808593476442
8,118,0.011520048380210418,0.07562718342264671,1.65469281201287,0.10066706325534076,169,-0.0025065901334725875,0.08168104539317265,-0.3989379858973662,0.6904455241125046
9,118,-0.00877984908088607,0.0734309458370573,-1.2988198943149196,0.1965596745505856,169,0.02189105898430924,0.09770537644184707,2.912672538193439,0.004070910254652261
10,118,0.005729322710225295,0.07545813962836875,0.8247801399681962,0.41117479818174363,169,-0.0019406199520121776,0.08042684360142302,-0.31367710389310793,0.7541554219657223
11,118,-0.003510391442801379,0.0717834702860227,-0.5312171664228386,0.5962753383519677,169,0.0043028407948473195,0.10376707706352792,0.5390624070365752,0.5905574355954031
12,118,0.0035394703950354586,0.0598043614976747,0.6429044469919948,0.5215440565497397,169,-0.006235723671617442,0.06924309742105318,-1.1707218589326036,0.24336852513444637
13,118,-0.01264209100549981,0.06050856441255831,-2.269567306310429,0.025065517806024902,169,-0.010474433673869996,0.0671714375756311,-2.027165751916403,0.04422618351315784
14,118,-0.0012119742943428183,0.05700163632565987,-0.2309654874678882,0.8177450186319928,169,0.006121924311244146,0.0826166205665488,0.9633051497436536,0.33677892533256615
15,118,0.005133055432878744,0.0949153721996765,0.5874628432075467,0.5580249437657656,169,-0.0006186511970794428,0.06926364126099326,-0.11611381405329001,0.9077010210807921
16,118,-0.003499945526026333,0.07478582226396845,-0.5083736305818465,0.6121485530136463,169,0.007291121780088498,0.08467022659167492,1.1194558814428641,0.26454364760621946
17,118,-0.0005276081529638831,0.05924590826491428,-0.0967373396553758,0.9231004980952702,169,-0.003296290120055359,0.0690767050015157,-0.6203505445110534,0.5358676217701897
18,118,0.002732209189751537,0.08141843564804602,0.3645290952605429,0.7161209652380021,169,-0.0016703738032782945,0.07208330167358792,-0.30124673729497575,0.7635988845976734
19,118,-0.001819433762672796,0.0640869791881021,-0.3083950879348406,0.7583301246885868,169,-0.008199673564002948,0.06558597683676902,-1.6252827429457186,0.1059768332976395
